,title_id,title,start_year,genres,category,averagerating,numvotes,primary_name,known_for_titles,number_of_movies
12030,tt4018854,Superhero Man,2015,Comedy,actor,8.1,12,Jonathan Bazile,"['tt4018854', 'tt3305510', 'tt4061102', 'tt4396690']",4
12031,tt4020052,Six-Gun Women,2012,Action,actor,6.2,9,Tony Clay,"['tt0116106', 'tt1071902', 'tt4020052', 'tt0379226']",4
12032,tt4034930,Baker's Man,2017,"Comedy,Romance",actor,3.9,43,Caleel Harris,"['tt6548228', 'tt5664636', 'tt7137906', 'tt4859164']",4
12033,tt4074562,All That Remains,2015,Drama,actor,7.3,7,Jack Dimich,"['tt2191671', 'tt1600196', 'tt0247082', 'tt0203259']",4
12034,tt4083126,The Two Dollar Bill Documentary,2015,Documentary,actress,8.8,15,Krys Parker,"['tt0316551', 'tt4083126']",2
12035,tt4116456,Somewhere Beautiful,2014,"Drama,Romance",actor,6.7,16,Anthony Bonaventura,"['tt5574490', 'tt7587890', 'tt8116200', 'tt6111130']",4
12036,tt4123406,The AC Project: To the Ends of the Earth,2014,"Adventure,Documentary",actor,7.2,6,Matthew Fons,['tt4123406'],1
12037,tt4126354,The Thanhouser Studio and the Birth of American Cinema,2014,"Biography,Documentary,History",actor,7.0,53,Randy Johnson,['tt4126354'],1
12038,tt4128382,American Guinea Pig: Bouquet of Guts and Gore,2014,Horror,actor,4.5,488,Lucio Giovannelli,"['tt6057694', 'tt4128382', 'tt8421738']",3
12039,tt4162440,Wedgerino,2015,Comedy,actor,6.2,37,Kenny Zimlinghaus,"['tt4924538', 'tt4056314', 'tt4162440', 'tt7527526']",4
12040,tt4194954,Home Before the Holiday,2017,"Adventure,Comedy,Family",actor,9.1,10,Lachelle McKinley,"['tt2073537', 'tt4194954']",2
12041,tt4211840,Seven Dorms of Death,2015,Horror,actor,5.7,39,Michael Varrati,"['tt5130174', 'tt4779826', 'tt6167116', 'tt1829744']",4
12042,tt4231442,A Man Before His Time,2015,Documentary,actor,9.2,21,Vaz Andreas,"['tt2399794', 'tt4052886', 'tt0364845', 'tt2368645']",4
12043,tt4234974,Surrogative,2014,Comedy,actor,8.5,6,David Andrew Cooke,"['tt3922754', 'tt4234974', 'tt8473952', 'tt8932654']",4
12044,tt4272776,A Million Hits,2018,"Action,Drama",actress,6.8,22,Tess Cline,"['tt2937696', 'tt7131622', 'tt4513074', 'tt4272776']",4
12045,tt4305334,Good Friday,2015,"Crime,Drama,Family",actor,6.4,5,Danny Binstock,"['tt2180994', 'tt1595859', 'tt3501074', 'tt3177086']",4
12046,tt4312236,Turtle Tale,2015,Family,actor,6.8,26,Bryson Powers,"['tt4312236', 'tt7575904', 'tt1935859']",3
12047,tt4319964,George Anton's Romeo and Juliet,2014,"Adventure,Comedy,Fantasy",actor,6.0,9,Daniel Forrer,"['tt6583612', 'tt1281313', 'tt4319964', 'tt5216214']",4
12048,tt4329186,Welcome to this House,2015,"Biography,Documentary,History",actor,6.6,10,Erin Miller,['tt4329186'],1
12049,tt4351934,Pause of the Clock,2015,"Comedy,Drama",actor,8.2,8,Daniel Andries,"['tt1235201', 'tt6429230', 'tt1291185', 'tt1423334']",4
12050,tt4416800,Game On,2018,"Comedy,Drama",actor,7.1,19,Robert Francis,"['tt7959410', 'tt8831150', 'tt8214764', 'tt5839300']",4
12051,tt4425148,Life in a Walk,2015,"Adventure,Documentary,Family",actor,6.8,71,Will Roth,['tt4425148'],1
12052,tt4848010,Fits and Starts,2017,Comedy,actor,5.8,206,Wyatt Cenac,"['tt0115147', 'tt8688320', 'tt1133989', 'tt4695530']",4
12053,tt4906456,Grey Agenda,2017,Sci-Fi,actor,3.4,34,Kenny Gardner,"['tt3750976', 'tt5646136', 'tt4575982']",3
12054,tt4919338,Retribution of the Wolf,2016,Western,actor,7.8,5,Robert Bejil,"['tt4919338', 'tt6212670']",2
