,title,studio,domestic_gross,foreign_gross,year,original_language,popularity,release_date,vote_average,vote_count,production_budget,total_gross,total_profit,roi_percentage
78,127 Hours,FoxS,18300000.0,42400000.0,2010,en,11.435,2010-11-05,7.0,4469,18000000,60700000.0,42700000.0,200.0
79,Secretariat,BV,59700000.0,537000.0,2010,en,9.059,2010-10-08,7.0,200,35000000,60237000.0,25237000.0,0.0
80,The Ghost Writer,Sum.,15500000.0,44700000.0,2010,en,7.829,2010-02-12,6.8,1135,45000000,60200000.0,15200000.0,0.0
81,Morning Glory,Par.,31000000.0,29000000.0,2010,en,10.595,2010-11-10,6.3,717,40000000,60000000.0,20000000.0,0.0
82,Remember Me,Sum.,19100000.0,37000000.0,2010,en,11.453,2010-03-12,7.1,2079,16000000,56100000.0,40100000.0,200.0
83,Cop Out,WB,44900000.0,10700000.0,2010,en,8.82,2010-02-26,5.4,796,37000000,55600000.0,18600000.0,0.0
84,The Crazies,Over.,39100000.0,15700000.0,2010,en,12.245999999999999,2010-02-26,6.2,1036,19000000,54800000.0,35800000.0,100.0
85,The Switch,Mira.,27800000.0,22100000.0,2010,en,7.745,2010-08-20,6.1,1008,19000000,49900000.0,30900000.0,100.0
86,She's Out of My League,Par.,32000000.0,17800000.0,2010,en,7.775,2010-03-12,6.1,970,20000000,49800000.0,29800000.0,100.0
87,Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,en,9.454,2010-05-01,6.9,1398,44000000,48200000.0,4200000.0,0.0
88,The Spy Next Door,LGF,24300000.0,20900000.0,2010,en,10.745999999999999,2010-01-15,5.7,650,28000000,45200000.0,17200000.0,0.0
89,Machete,Fox,26600000.0,17500000.0,2010,en,12.557,2010-09-03,6.3,1862,12500000,44100000.0,31600000.0,200.0
90,Going the Distance,WB (NL),17800000.0,24200000.0,2010,en,8.281,2010-09-03,6.0,394,32000000,42000000.0,10000000.0,0.0
91,For Colored Girls,LGF,37700000.0,17300.0,2010,en,2.858,2010-11-05,6.8,33,21000000,37717300.0,16717300.0,0.0
92,Furry Vengeance,Sum.,17600000.0,18600000.0,2010,en,9.45,2010-04-02,4.6,283,35000000,36200000.0,1200000.0,0.0
93,Faster,CBS,23200000.0,12400000.0,2010,en,14.172,2010-11-23,6.2,895,24000000,35600000.0,11600000.0,0.0
94,The Kids Are All Right,Focus,20800000.0,13900000.0,2010,en,8.426,2010-07-09,6.6,854,4000000,34700000.0,30700000.0,700.0
95,You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,en,6.209,2010-05-23,5.8,431,15000000,34200000.0,19200000.0,100.0
96,Leap Year,Uni.,25900000.0,6700000.0,2010,en,11.821,2010-01-08,6.7,990,19000000,32600000.0,13600000.0,0.0
98,You Again,BV,25700000.0,6300000.0,2010,en,10.208,2010-09-24,6.2,734,20000000,32000000.0,12000000.0,0.0
99,The Losers,WB,23600000.0,5800000.0,2010,en,10.202,2010-04-23,6.2,844,25000000,29400000.0,4400000.0,0.0
100,Ramona and Beezus,Fox,26200000.0,1100000.0,2010,en,7.442,2010-07-23,6.3,460,15000000,27300000.0,12300000.0,0.0
101,Let Me In,Over.,12100000.0,12000000.0,2010,en,9.716000000000001,2010-10-01,6.7,1061,20000000,24100000.0,4100000.0,0.0
103,Mao's Last Dancer,Gold.,4800000.0,17500000.0,2010,en,2.681,2010-08-20,7.0,45,18000000,22300000.0,4300000.0,0.0
104,Just Wright,FoxS,21500000.0,29900.0,2010,en,7.047000000000001,2010-05-14,6.2,211,12000000,21529900.0,9529900.0,0.0
105,Our Family Wedding,FoxS,20300000.0,1200000.0,2010,en,5.025,2010-03-12,5.5,57,14000000,21500000.0,7500000.0,0.0
106,My Soul to Take,Uni.,14700000.0,6200000.0,2010,en,9.808,2010-10-08,5.4,247,25000000,20900000.0,-4100000.0,-100.0
107,Country Strong,SGem,20200000.0,310000.0,2010,en,7.567,2010-12-22,6.3,126,15000000,20510000.0,5510000.0,0.0
108,Another Year,SPC,3200000.0,16500000.0,2010,en,9.394,2010-12-29,7.0,150,8000000,19700000.0,11700000.0,100.0
110,Buried,LGF,1000000.0,18100000.0,2010,en,10.888,2010-09-24,6.6,1487,1987650,19100000.0,17112350.0,800.0
111,Repo Men,Uni.,13800000.0,4600000.0,2010,en,12.437000000000001,2010-03-19,6.2,976,32000000,18400000.0,-13600000.0,-100.0
112,The Nutcracker in 3D,Free,195000.0,16000000.0,2010,en,7.566,2010-11-24,5.5,97,90000000,16195000.0,-73805000.0,-100.0
